"Exercise Name","Equipment Used","Skill Level","Muscle Groups Targeted (%)"
"Lat Pulldown","Cable Machine","Beginner","Lats 60%, Biceps 20%, Rear Delts 10%, Rhomboids 10%"
"V-Grip Pulldown","Cable Machine","Beginner","Lats 55%, Biceps 25%, Rhomboids 15%, Rear Delts 5%"
"Supinated Pulldown","Cable Machine","Beginner","Lats 50%, Biceps 35%, Rhomboids 10%, Rear Delts 5%"
"Kneeling Rope Pulldown","Cable Machine","Intermediate","Lats 65%, Rear Delts 15%, Teres Major 10%, Biceps 10%"
"Kneeling Single Arm Pulldown","Cable Machine","Intermediate","Lats 70%, Rear Delts 10%, Teres Major 10%, Biceps 10%"
"Incline Bench Unilateral Row (High Cable)","Cable Machine, Incline Bench","Intermediate","Upper Lats 50%, Rhomboids 25%, Rear Delts 15%, Biceps 10%"
"Incline Bench Unilateral Row (Mid Cable)","Cable Machine, Incline Bench","Intermediate","Mid Lats 45%, Rhomboids 30%, Rear Delts 15%, Biceps 10%"
"Incline Bench Unilateral Row (Low Cable)","Cable Machine, Incline Bench","Intermediate","Mid/Lower Lats 50%, Rhomboids 25%, Rear Delts 15%, Biceps 10%"
"Incline Bench Reverse Facing V-Grip Pulldown","Cable Machine, Incline Bench","Advanced","Lats 55%, Rear Delts 20%, Rhomboids 15%, Biceps 10%"
"Incline Bench Lat Pullover","Cable Machine, Incline Bench","Intermediate","Lats 70%, Teres Major 15%, Rear Delts 10%, Core 5%"
"Incline Bench Chest Supported Low Lat Rope Row","Cable Machine, Incline Bench","Advanced","Lower Lats 60%, Rhomboids 20%, Rear Delts 10%, Biceps 10%"
"Incline Bench Chest Supported Upper Back Rope High Row","Cable Machine, Incline Bench","Advanced","Traps 40%, Rhomboids 30%, Rear Delts 20%, Lats 10%"
"Seated Lat Bar Stretch Biased Row","Cable Machine, Lat Bar, Bench","Intermediate","Lats 65%, Rhomboids 15%, Rear Delts 10%, Biceps 10%"
"Seated Lat Bar Row","Cable Machine, Lat Bar, Bench","Beginner","Lats 60%, Rhomboids 20%, Biceps 15%, Rear Delts 5%"
"Seated V-Grip Row","Cable Machine, V-Grip Attachment, Bench","Beginner","Lats 50%, Rhomboids 30%, Biceps 15%, Rear Delts 5%"
"Seated Single Arm Cable Row","Cable Machine, Bench","Intermediate","Mid Lats 50%, Rhomboids 25%, Biceps 15%, Rear Delts 10%"
"Kneeling Single Arm Cable Row (Low Position)","Cable Machine","Intermediate","Lower Lats 55%, Rhomboids 20%, Biceps 15%, Rear Delts 10%"
"Standing Rope Lat Pullover","Cable Machine, Rope Attachment","Beginner","Lats 70%, Teres Major 15%, Core 10%, Rear Delts 5%"
"Standing V-Grip Lat Pullover","Cable Machine, V-Grip Attachment","Intermediate","Lats 65%, Teres Major 20%, Core 10%, Rear Delts 5%"
"Crossover Cable Pull","Cable Machine (Dual Stack)","Advanced","Upper Lats 50%, Rear Delts 25%, Rhomboids 15%, Biceps 10%"
"Rope High Pull","Cable Machine, Rope Attachment","Advanced","Rear Delts 40%, Rhomboids 30%, Traps 20%, Biceps 10%"
"Reverse Cable Rear Delt Fly","Cable Machine, Handles","Intermediate","Rear Delts 60%, Rhomboids 25%, Traps 10%, Lats 5%"
"Dual DB Incline Bench Row","Dumbbells, Incline Bench","Intermediate","Upper Lats 45%, Rhomboids 30%, Rear Delts 15%, Biceps 10%"
"Single Arm DB Row","Dumbbell, Flat Bench or Knee Support","Beginner","Mid Lats 50%, Rhomboids 25%, Rear Delts 15%, Biceps 10%"
"Deficit Single Arm DB Row","Dumbbell, Raised Platform or Plates","Intermediate","Mid/Lower Lats 55%, Rhomboids 25%, Rear Delts 10%, Biceps 10%"
"DB Pullover","Dumbbell, Flat Bench","Beginner","Lats 65%, Teres Major 15%, Chest 10%, Core 10%"
"Dual DB Deficit Row","Dumbbells, Raised Platform or Plates","Advanced","Mid/Lower Lats 50%, Rhomboids 30%, Rear Delts 10%, Biceps 10%"
"Deficit BB Row (Supinated)","Barbell, Platform","Intermediate","Lats 50%, Biceps 25%, Rhomboids 15%, Rear Delts 10%"
"Deficit BB Row (Pronated)","Barbell, Platform","Intermediate","Mid/Upper Back 50%, Rhomboids 25%, Rear Delts 15%, Biceps 10%"
"Chest Supported Barbell Row","Barbell, Incline Bench","Advanced","Rhomboids 35%, Upper Lats 30%, Rear Delts 20%, Biceps 15%"
"T Bar Row","T-Bar Machine or Barbell with V-Handle","Intermediate","Mid Back 45%, Lats 30%, Rhomboids 15%, Biceps 10%"
"Inverted Bodyweight Row (Smith)","Smith Machine","Beginner","Rhomboids 35%, Rear Delts 25%, Biceps 25%, Lats 15%"
"Chest Supported Smith Row","Smith Machine, Incline Bench","Intermediate","Rhomboids 40%, Rear Delts 25%, Upper Lats 20%, Biceps 15%"
"Deficit Smith Row","Smith Machine, Platform","Intermediate","Mid Back 50%, Lats 25%, Rear Delts 15%, Biceps 10%"
"Plate Loaded Low Row","Row Machine (Low)","Beginner","Lats 50%, Rhomboids 25%, Biceps 15%, Rear Delts 10%"
"Plate Loaded Low Row (Unilateral)","Row Machine (Low, Single Arm)","Intermediate","Lats 55%, Rhomboids 25%, Biceps 10%, Rear Delts 10%"
"Plate Loaded Mid Row","Row Machine (Mid)","Beginner","Mid Back 50%, Rhomboids 30%, Rear Delts 10%, Biceps 10%"
"Plate Loaded Mid Row (Unilateral)","Row Machine (Mid, Single Arm)","Intermediate","Mid Back 55%, Rhomboids 25%, Rear Delts 10%, Biceps 10%"
"Plate Loaded Pulldown","Pulldown Machine","Beginner","Lats 60%, Biceps 20%, Rear Delts 10%, Rhomboids 10%"
"Plate Loaded Pulldown (Unilateral)","Pulldown Machine (Single Arm)","Intermediate","Lats 65%, Biceps 15%, Rear Delts 10%, Rhomboids 10%"
"Plate Loaded Chest Supported Row","Row Machine, Chest Pad","Intermediate","Mid Back 50%, Rhomboids 30%, Rear Delts 10%, Biceps 10%"
"Incline DB Flys","Dumbbells, Incline Bench","Intermediate","Upper Chest 60%, Front Delts 20%, Biceps 10%, Serratus 10%"
"Decline DB Fly","Dumbbells, Decline Bench","Intermediate","Lower Chest 65%, Front Delts 15%, Biceps 10%, Core 10%"
"Flat DB Fly","Dumbbells, Flat Bench","Beginner","Mid Chest 60%, Front Delts 20%, Biceps 10%, Serratus 10%"
"Incline DB Press","Dumbbells, Incline Bench","Beginner","Upper Chest 55%, Front Delts 25%, Triceps 15%, Serratus 5%"
"Flat DB Press","Dumbbells, Flat Bench","Beginner","Mid Chest 60%, Triceps 20%, Front Delts 15%, Core 5%"
"Incline Bench Cable Stretch Flys","Cable Machine, Incline Bench","Intermediate","Upper Chest 65%, Front Delts 20%, Biceps 10%, Serratus 5%"
"Bench Supported Cable Supinated Fly","Cable Machine, Bench","Intermediate","Chest 60%, Front Delts 20%, Biceps 15%, Serratus 5%"
"Upper Chest Bench Supported Cable Fly","Cable Machine, Incline Bench","Intermediate","Upper Chest 65%, Front Delts 20%, Serratus 10%, Biceps 5%"
"Bench Supported Cable Presses","Cable Machine, Bench","Intermediate","Chest 60%, Triceps 20%, Front Delts 15%, Serratus 5%"
"Upper Chest Alternating Bench Supported Fly","Cable Machine, Incline Bench","Intermediate","Upper Chest 60%, Front Delts 20%, Biceps 10%, Serratus 10%"
"Mid Chest Staggered Stance Cable Fly","Cable Machine","Intermediate","Mid Chest 65%, Front Delts 20%, Biceps 10%, Core 5%"
"Downward Cable Fly","Cable Machine","Intermediate","Lower Chest 60%, Front Delts 20%, Core 10%, Biceps 10%"
"90 Degree Downward Cable Presses","Cable Machine","Advanced","Lower Chest 60%, Triceps 20%, Front Delts 10%, Core 10%"
"Upper Alternating Chest Cable Fly","Cable Machine","Advanced","Upper Chest 60%, Front Delts 20%, Serratus 10%, Biceps 10%"
"Kneeling Supinated Cable Fly","Cable Machine","Advanced","Mid Chest 65%, Biceps 15%, Front Delts 10%, Core 10%"
"Dips (Chest Focused)","Bodyweight, Parallel Bars","Intermediate","Lower Chest 60%, Triceps 25%, Front Delts 10%, Core 5%"
"Deficit Pushups","Bodyweight, Blocks or Plates","Beginner","Mid Chest 55%, Triceps 25%, Front Delts 15%, Core 5%"
"Flat Smith Machine Press","Smith Machine, Flat Bench","Beginner","Mid Chest 60%, Triceps 25%, Front Delts 10%, Core 5%"
"Incline Smith Machine Press","Smith Machine, Incline Bench","Beginner","Upper Chest 60%, Front Delts 25%, Triceps 10%, Serratus 5%"
"Bench Press","Barbell, Flat Bench","Intermediate","Mid Chest 60%, Triceps 25%, Front Delts 10%, Core 5%"
"Incline Bench Press","Barbell, Incline Bench","Intermediate","Upper Chest 60%, Front Delts 25%, Triceps 10%, Serratus 5%"
"Plate Loaded Flat Press","Plate Loaded Machine","Beginner","Mid Chest 60%, Triceps 25%, Front Delts 10%, Core 5%"
"Plate Loaded Decline Press","Plate Loaded Machine","Intermediate","Lower Chest 65%, Triceps 20%, Front Delts 10%, Core 5%"
"Plate Loaded Incline Press","Plate Loaded Machine","Intermediate","Upper Chest 60%, Front Delts 25%, Triceps 10%, Serratus 5%"
"Machine Fly","Chest Fly Machine","Beginner","Mid Chest 65%, Front Delts 20%, Biceps 10%, Serratus 5%"
"Stretch Biased Machine Chest Fly","Chest Fly Machine ","Intermediate","Mid Chest 70%, Front Delts 15%, Biceps 10%, Serratus 5%"
"Cross Body Machine Chest Fly","Chest Fly Machine ","Advanced","Inner Chest 60%, Mid Chest 20%, Front Delts 10%, Biceps 10%"
"Upper Chest Machine Chest Fly","Chest Fly Machine ","Intermediate","Upper Chest 65%, Front Delts 20%, Biceps 10%, Serratus 5%"
"Cable Lat Bar Pushdowns","Cable Machine, Lat Bar","Beginner","Triceps (Long Head) 60%, Lateral Head 25%, Medial Head 10%, Core 5%"
"Cable Rope Pushdowns","Cable Machine, Rope Attachment","Beginner","Triceps (Lateral Head) 55%, Long Head 25%, Medial Head 15%, Core 5%"
"Cable V-Grip Pushdowns","Cable Machine, V-Grip Attachment","Beginner","Triceps (Lateral Head) 60%, Long Head 20%, Medial Head 15%, Core 5%"
"Incline Bench Pushdowns","Cable Machine, Bench","Intermediate","Triceps (Long Head) 65%, Medial Head 20%, Core 10%, Shoulders 5%"
"Incline Bench Cable Overhead Extensions","Cable Machine, Incline Bench","Intermediate","Triceps (Long Head) 70%, Medial Head 20%, Core 10%"
"Crossover Kickbacks","Cable Machine (Dual Stack)","Advanced","Triceps (Lateral Head) 65%, Medial Head 20%, Rear Delts 10%, Core 5%"
"Single Arm Cross Body Extension","Cable Machine","Intermediate","Triceps (Long Head) 60%, Medial Head 25%, Lateral Head 10%, Core 5%"
"Cable Kickback","Cable Machine","Intermediate","Triceps (Lateral Head) 65%, Medial Head 20%, Rear Delts 10%, Core 5%"
"Kneeling Overhead Rope Extension","Cable Machine, Rope Attachment","Intermediate","Triceps (Long Head) 70%, Medial Head 20%, Core 10%"
"DB Overhead Extension","Dumbbell, Incline Bench","Beginner","Triceps (Long Head) 65%, Medial Head 25%, Core 10%"
"DB Incline Overhead Extension","Dumbbell, Incline Bench","Intermediate","Triceps (Long Head) 70%, Medial Head 20%, Core 10%"
"Close Grip DB Presses","Dumbbells, Flat Bench","Intermediate","Triceps (All Heads) 55%, Chest 25%, Front Delts 15%, Core 5%"
"Deficit Narrow Grip Pushups","Bodyweight, Elevated Platform","Beginner","Triceps (All Heads) 60%, Chest 25%, Front Delts 10%, Core 5%"
"Dips (Tricep Biased)","Bodyweight, Parallel Bars","Intermediate","Triceps (All Heads) 65%, Chest 20%, Front Delts 10%, Core 5%"
"Smith Machine Bodyweight Extensions","Smith Machine","Advanced","Triceps (All Heads) 60%, Core 20%, Chest 10%, Shoulders 10%"
"JM Presses","Smith Machine","Advanced","Triceps (Medial + Long Head) 70%, Chest 15%, Shoulders 10%, Core 5%"
"Close Grip Smith Bench","Smith Machine, Flat Bench","Intermediate","Triceps (All Heads) 60%, Chest 25%, Front Delts 10%, Core 5%"
"Machine Tricep Pushdowns","Tricep Pushdown Machine","Beginner","Triceps (Lateral Head) 60%, Long Head 25%, Medial Head 10%, Core 5%"
"Machine Tricep Overhead Extensions","Overhead Tricep Machine","Intermediate","Triceps (Long Head) 70%, Medial Head 20%, Core 10%"
"BB Bicep Curl","Barbell","Beginner","Biceps (Long Head) 50%, Biceps (Short Head) 40%, Forearms 10%"
"Preacher Curls","Barbell or EZ Bar, Preacher Bench","Intermediate","Biceps (Short Head) 65%, Long Head 25%, Forearms 10%"
"Drag Curl","Barbell","Intermediate","Biceps (Long Head) 60%, Forearms 25%, Delts 15%"
"Spider Curl","Barbell or EZ Bar, Incline Bench","Intermediate","Biceps (Short Head) 60%, Long Head 30%, Forearms 10%"
"Hammer Curls","Dumbbells","Beginner","Biceps (Brachialis) 60%, Forearms 25%, Long Head 15%"
"Concentration Curls","Dumbbell","Intermediate","Biceps (Short Head) 70%, Long Head 20%, Forearms 10%"
"Incline Dumbbell Curls","Dumbbells, Incline Bench","Intermediate","Biceps (Long Head) 65%, Short Head 25%, Forearms 10%"
"Seated Zottoman Curl","Dumbbells","Advanced","Biceps (All Heads) 55%, Forearms 30%, Brachialis 15%"
"Incline Bench Iso Curl","Dumbbell, Incline Bench","Advanced","Biceps (Long Head) 70%, Short Head 20%, Forearms 10%"
"Hammer Preacher Curl","Dumbbells, Preacher Bench","Intermediate","Biceps (Brachialis) 60%, Short Head 25%, Forearms 15%"
"Side Facing Preacher Hammer Curls","Dumbbell, Preacher Bench","Advanced","Biceps (Brachialis) 65%, Forearms 20%, Short Head 15%"
"Side Facing Preacher Supinated Curls","Dumbbell, Preacher Bench","Advanced","Biceps (Short Head) 65%, Long Head 25%, Forearms 10%"
"Standing Bar Cable Curls","Cable Machine, Bar Attachment","Beginner","Biceps (All Heads) 60%, Forearms 25%, Brachialis 15%"
"Cable Drag Curl","Cable Machine, Bar Attachment","Intermediate","Biceps (Long Head) 60%, Forearms 25%, Delts 15%"
"Lying Curl","Cable Machine, Flat Bench","Advanced","Biceps (Long Head) 65%, Forearms 25%, Short Head 10%"
